position,channelId,channelTitle,videoId,publishedAt,publishedAtSQL,videoTitle,videoDescription,tags,videoCategoryId,videoCategoryLabel,topicCategories,duration,durationSec,dimension,definition,caption,defaultLanguage,defaultLAudioLanguage,thumbnail_maxres,licensedContent,locationDescription,latitude,longitude,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
1,UC3eubvs92qmFPGMyDLSpleA,"Frente Parlamentar da Agropecuária (FPA)",LCvDA1gA7k4,2025-04-04T19:45:03Z,"2025-04-04 19:45:03","Vitória do agro e do Brasil: Aprovado o PL da Reciprocidade","Depois de muita articulação da FPA, a Câmara aprovou o PL da Reciprocidade (PL 2088/2023), e garantiu ao Brasil uma resposta imediata contra barreiras comerciais abusivas. Relatado pelo deputado Arnaldo Jardim (Cidadania-SP), o projeto protege nossas exportações e fortalece o setor produtivo. O Brasil não aceita jogo desigual no comércio internacional. 🔗 Confira! Frente Parlamentar da Agropecuária","agroforte,defesadoagro,FPAemação,PL2088,leiDaReciprocidade,exportaçõesbrasileiras,comérciojusto,barrerastarifárias,taxasaamericanas,soberaniacomercial,brasilcompetitivo,apoioaoprodutor,brasilagro,politicadecomercio,arnaldojardim",25,"News & Politics","Politics,Society",PT2M55S,175,2d,hd,false,,pt-BR,https://i.ytimg.com/vi/LCvDA1gA7k4/maxresdefault.jpg,,,,,33,0,,0,0
2,UC3eubvs92qmFPGMyDLSpleA,"Frente Parlamentar da Agropecuária (FPA)",s4KyRi66dzM,2025-04-04T15:39:09Z,"2025-04-04 15:39:09","Tarifaço de Trump: Pedro Lupion defende a Lei da Reciprocidade","O presidente da Frente Parlamentar da Agropecuária, Pedro Lupion, participou do programa Os Três Poderes, da VEJA, e comentou sobre o impacto das novas tarifas anunciadas por Donald Trump sobre produtos brasileiros. 👉🏼 Em destaque: a reação do Congresso, a importância da Lei da Reciprocidade e os próximos passos para proteger a competitividade do agro nacional. 🌾 Confira a entrevista completa! Frente Parlamentar da Agropecuária",,25,"News & Politics","Politics,Society",PT15M53S,953,2d,hd,false,,pt-BR,https://i.ytimg.com/vi/s4KyRi66dzM/maxresdefault.jpg,,,,,78,2,,0,1
3,UC3eubvs92qmFPGMyDLSpleA,"Frente Parlamentar da Agropecuária (FPA)",a7CmTAVeCN0,2025-04-02T18:12:35Z,"2025-04-02 18:12:35","Reciprocidade: ""Precisamos ter carta na manga para reagir a qualquer retaliação"" | Lupion analisa","Em uma entrevista à CNBC, o deputado Pedro Lupion, presidente da Frente Parlamentar da Agropecuária, detalha o Projeto de Lei da Reciprocidade, uma iniciativa estratégica para proteger o agronegócio brasileiro contra possíveis tarifas impostas por outros paises. Lupion enfatiza a importância do PL como uma ferramenta de negociação, destacando a prontidão do Brasil para enfrentar medidas comerciais adversas. Além disso, ressalta a confiança no Itamaraty e nos diplomatas brasileiros para conduzir as negociações internacionais, visando minimizar impactos ao setor agropecuário nacional.​ ▶ Entenda os desdobramentos desse projeto e seu impacto nas relações comerciais entre Brasil e Estados Unidos.","agronegócio,Frente Parlamentar da Agropecuária,FPA,exportação agrícola,mercado agro,taxação dos EUA,tarifas sobre o agro,comércio internacional,economia rural,PIB agro,política agrícola,segurança jurídica no campo,investimento no agronegócio,balança comercial,agricultura sustentável,incentivos fiscais agro,produção agrícola,commodities agrícolas",25,"News & Politics","Politics,Society",PT7M31S,451,2d,hd,false,,pt-BR,https://i.ytimg.com/vi/a7CmTAVeCN0/maxresdefault.jpg,,,,,189,9,,0,4
4,UC3eubvs92qmFPGMyDLSpleA,"Frente Parlamentar da Agropecuária (FPA)",9VfXkMhE7Gc,2025-04-02T07:37:49Z,"2025-04-02 07:37:49","ABRIL VERMELHO: INVASÕES DE TERRA E INCENTIVOS DO GOVERNO AO MST","Durante coletiva, o presidente da FPA, deputado Pedro Lupion, o presidente da Comissão de Agricultura da Câmara, deputado Rodolfo Nogueira, e a vice-presidente da FPA no Senado, senadora Tereza Cristina, reafirmaram o compromisso da bancada com a defesa do direito à propriedade e o combate às invasões de terra no chamado Abril Vermelho. Os parlamentares também cobraram transparência sobre os repasses de bilhões de reais do governo federal ao MST.","mst,invasão de terras,abril vermelho,abril do terror,governo federal,lula,bahia,espirito santo,agricultura,fpa,frente parlamentar,agropecuaria",25,"News & Politics","Politics,Society",PT25M39S,1539,2d,hd,false,,en-US,https://i.ytimg.com/vi/9VfXkMhE7Gc/maxresdefault.jpg,,,,,169,4,,0,0
5,UC3eubvs92qmFPGMyDLSpleA,"Frente Parlamentar da Agropecuária (FPA)",Uw-OY1K1t40,2025-04-01T20:31:11Z,"2025-04-01 20:31:11","ABRIL VERMELHO: INVASÕES DE TERRA E INCENTIVOS DO GOVERNO AO MST","Durante coletiva, o presidente da FPA, deputado Pedro Lupion, o presidente da Comissão de Agricultura da Câmara, deputado Rodolfo Nogueira, e a vice-presidente da FPA no Senado, senadora Tereza Cristina, reafirmaram o compromisso da bancada com a defesa do direito à propriedade e o combate às invasões de terra no chamado Abril Vermelho. Os parlamentares também cobraram transparência sobre os repasses de bilhões de reais do governo federal ao MST.","mst,invasão de terras,abril vermelho,abril do terror,governo federal,lula,bahia,espirito santo,agricultura,fpa,frente parlamentar,agropecuaria",25,"News & Politics","Politics,Society",PT23M11S,1391,2d,hd,false,,pt-BR,https://i.ytimg.com/vi/Uw-OY1K1t40/maxresdefault.jpg,,,,,464,12,,0,3
6,UC3eubvs92qmFPGMyDLSpleA,"Frente Parlamentar da Agropecuária (FPA)",OnxdUgdCgjw,2025-03-26T19:00:56Z,"2025-03-26 19:00:56","ESCOAMENTO DA SUPERSAFRA E AS POSSÍVEIS SOLUÇÕES.","Em entrevista à CNBC, o presidente da Frente Parlamentar da Agropecuária (FPA), Pedro Lupion, destacou os principais desafios logísticos da super safra deste ano. Entre as questões abordadas, ele enfatizou a limitação da capacidade de armazenagem, apontando os riscos de gargalos na logística de escoamento. Além disso, Lupion mencionou possíveis alternativas para mitigar esses desafios.",,25,"News & Politics",Society,PT8M16S,496,2d,hd,false,,pt-BR,https://i.ytimg.com/vi/OnxdUgdCgjw/maxresdefault.jpg,,,,,57,4,,0,0
7,UC3eubvs92qmFPGMyDLSpleA,"Frente Parlamentar da Agropecuária (FPA)",b7RbYPfII9M,2025-03-26T19:00:19Z,"2025-03-26 19:00:19","Desafios do Agro para 2025: Plano Safra, Agenda Legislativa e Seguro Rural","A CNBC transmitiu a coletiva de imprensa em que os deputados Pedro Lupion, presidente da FPA, e Alceu Moreira, vice, esclareceram os desafios do setor para 2025 e os rumos da agenda legislativa. Além disso, discutiram a modernização do Seguro Rural, destacando a necessidade de aprimorar a proteção aos produtores diante das adversidades climáticas.","Agropecuária,FPA,Parlamentares,Deputados,Agricultura,Pecuária,Produção Rural,Congresso Nacional,Política Agrícola,Plano Safra,Desenvolvimento Rural,Setor Agro,Economia no Campo,Brasil Rural,Infraestrutura Agrícola,Sustentabilidade no Agro,Investimento no Agro,Crescimento Econômico,Agronegócio Brasileiro,Defesa do Produtor,AgendaLegislativa",25,"News & Politics","Politics,Society",PT18M17S,1097,2d,hd,false,,pt-BR,https://i.ytimg.com/vi/b7RbYPfII9M/maxresdefault.jpg,,,,,58,2,,0,0
8,UC3eubvs92qmFPGMyDLSpleA,"Frente Parlamentar da Agropecuária (FPA)",loIHzDCdFdY,2025-03-26T17:29:29Z,"2025-03-26 17:29:29","Rodolfo Nogueira critica governo: ""Falha na comunicação afetou o Plano Safra""","O deputado Rodolfo Nogueira analisou, durante entrevista à CNN, o orçamento aprovado e apontou uma falha na comunicação entre o governo e o Congresso Nacional. Segundo ele, esse problema resultou em negligência com o Plano Safra, afetando negativamente a produção agrícola. Nogueira destacou que a falta de diálogo adequado compromete o planejamento e o financiamento essenciais para o setor agropecuário. Assista à entrevista completa!","Agropecuária,FPA,Parlamentares,Deputados,Agricultura,Pecuária,Produção Rural,Congresso Nacional,Política Agrícola,Plano Safra,Desenvolvimento Rural,Setor Agro,Economia no Campo,Brasil Rural,Infraestrutura Agrícola,Sustentabilidade no Agro,Investimento no Agro,Crescimento Econômico,Agronegócio Brasileiro,Defesa do Produtor",25,"News & Politics","Politics,Society,Television_program",PT1M44S,104,2d,hd,false,,pt-BR,https://i.ytimg.com/vi/loIHzDCdFdY/maxresdefault.jpg,,,,,74,2,,0,1
9,UC3eubvs92qmFPGMyDLSpleA,"Frente Parlamentar da Agropecuária (FPA)",9ZFAbojxhmY,2025-03-24T17:36:02Z,"2025-03-24 17:36:02","""Prioridade é combater inflação de alimentos"", afirma Rodolfo Nogueira à CNN","O agro precisa de força e liderança, e Rodolfo Nogueira chega à presidência da Comissão de Agricultura com um recado claro: a prioridade é defender o produtor, não agradar o governo. Na entrevista, ele destacou os desafios da comissão, criticou a postura dos ministérios que dificultam a relação entre o agro e o governo e alertou para os impactos negativos das medidas adotadas para conter a inflação dos alimentos. O deputado também falou a relação de Lula com o MST, e como isso afeta o setor. Apesar das dificuldades, reafirmou a importância do diálogo — desde que seja para fortalecer quem produz. Confira a entrevista e entenda os próximos passos na defesa do agro!","AgroForte,AgroÉTech,DefesaDoAgro,SegurançaJurídica,InfraestruturaParaOCampo,MenosImpostosMaisProgresso,ProduzirAlimentarPreservar,AgroNãoPara,AgroContraInvasões,PropriedadePrivada,ChegaDeInvasões,BrasilNoCampo,AgroÉDesenvolvimento,FPAnaLuta,AgriculturaSustentável,LivreParaProduzir,MaisCréditoParaOAgro,RegularizaçãoFunditáriaJá,MSTNão,TrabalhoNoCampo,AgroCompetitivo,AgroExportação,ProteçãoAoProdutor",25,"News & Politics","Politics,Society",PT14M21S,861,2d,hd,false,,pt-BR,https://i.ytimg.com/vi/9ZFAbojxhmY/maxresdefault.jpg,,,,,541,4,,0,1
10,UC3eubvs92qmFPGMyDLSpleA,"Frente Parlamentar da Agropecuária (FPA)",T6az1tGNGHk,2025-03-24T14:04:50Z,"2025-03-24 14:04:50","“Problema de segurança pública e justiça”, diz Lupion sobre invasões de terras","Após se reunir com a bancada para discutir sobre as recentes invasões de terras no extremo sul da Bahia e no Espírito Santo, o presidente da FPA, Pedro Lupion, destacou à imprensa os principais fatores desses ataques. O deputado também declarou que a bancada está mobilizada e empenhada em buscar soluções para enfrentar o problema.","AgroForte,AgroÉTech,DefesaDoAgro,SegurançaJurídica,InfraestruturaParaOCampo,MenosImpostosMaisProgresso,ProduzirAlimentarPreservar,AgroNãoPara,AgroContraInvasões,PropriedadePrivada,ChegaDeInvasões,BrasilNoCampo,AgroÉDesenvolvimento,FPAnaLuta,AgriculturaSustentável,LivreParaProduzir,MaisCréditoParaOAgro,RegularizaçãoFunditáriaJá,MSTNão,TrabalhoNoCampo,AgroCompetitivo,AgroExportação,ProteçãoAoProdutor,FPA",25,"News & Politics","Politics,Society",PT1M27S,87,2d,hd,false,,pt-BR,https://i.ytimg.com/vi/T6az1tGNGHk/maxresdefault.jpg,,,,,66,7,,0,0
